PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9
81,46544.5779964786,41352.2365684666,2663.3646742870,26471.6860056503,7217.0883648794,24782.2905769875,38402.4851862293,360.7146201567,29696.5147373226,638.9852826255
82,42474.4995397897,47447.2747503703,8882.7144865913,29232.2942991577,1403.6271281413,30211.8457140190,36465.9669965032,4739.3185300055,34335.8950743311,0.0000000000
83,40021.4763252287,47836.5604355588,10292.3613452056,27811.9967426873,0.0000000000,30088.8457716643,34048.3087461044,4850.6983736525,33697.0432360767,2092.0922749586
84,7176.3411382538,61153.1883860470,47040.5561894741,29076.9405705129,30448.2223266063,45422.6262911631,0.0000000000,38933.3474013624,40833.4369483726,44634.5499732557
85,42047.9076955879,48035.0990044602,9513.6270258804,29496.7168393735,932.6833228262,30734.0919170374,36252.2930107855,5220.8445772600,34776.2035458628,0.0000000000
86,38267.4490245882,48970.9306495489,12066.4300237457,27855.6987318791,0.0000000000,31093.3786745344,32726.9431206110,6025.7872714729,34345.9446642189,3392.7695713351
87,40074.4132278496,48937.2991264142,11027.8084069307,28972.7621126698,0.0000000000,31264.1294783726,34558.2583309118,5848.2546146504,34908.2822969149,1573.7565106127
88,54727.1848183258,51863.4026422544,9976.2780366513,41238.8546269617,13727.7417159666,37564.6867984717,49908.0783810326,13782.1583293055,43489.5889261497,0.0000000000
89,31840.3491641313,53872.8182378950,19250.2057697134,29646.7642321176,0.0000000000,36095.5483811522,28506.9240498294,11985.2613617966,38120.2527114381,9550.3394473769
90,5014.1645273643,62847.6027834751,43350.3222101560,30769.5716471352,23434.1574200805,46560.9240675100,0.0000000000,35085.4720932883,43090.2987633120,38690.9311319924
91,38714.9754337590,54583.9841023355,16186.4174751665,33580.0882406005,0.0000000000,36867.3268371362,35401.2875178407,11167.2983220081,40276.0035704364,4483.4721364349
92,0.0000000000,72751.8371923900,56290.3932029666,40638.6142612543,35941.3593915963,56904.8657891361,0.0000000000,48084.1643656962,52448.8313500633,51612.5842850538
93,0.0000000000,69654.2991993418,48106.1950684905,37705.1409514283,25598.7022750871,53276.4629686262,1185.0982066654,39659.6668841067,50030.5048219889,41728.8424820242
94,0.0000000000,75012.9248083930,53748.1742927106,42928.6535881254,30645.3804223014,58702.6525463861,3349.5597238559,45273.1583638986,55207.0198727313,46951.7355620423
95,91342.1206072371,0.0000000000,42472.5058972676,38328.5561666623,72876.4066504620,16166.7805447606,70660.2001944605,46164.3889023343,17534.4668042522,64168.4374772767
96,73138.0570468620,0.0000000000,35806.3257029775,20354.4309479524,59199.3172799376,7242.1717565100,52044.6507663163,35294.0623306510,0.0000000000,53062.5501854815
97,78166.7143589220,0.0000000000,29602.5977739771,25624.2103127352,58361.0564885334,4836.9254979054,58487.3585216835,31974.2367372958,7705.4325031756,50130.9328626440
98,72819.8468174778,0.0000000000,35307.8912639436,19995.6283601140,58724.6555459714,6764.2491547899,51788.5229037312,34783.0508332267,0.0000000000,52550.6371353536
99,81645.1896299191,0.0000000000,21845.6654472169,32109.2574459606,55190.6072017689,0.0000000000,63976.6165646981,27801.6137490889,16335.0157112716,44470.4578821187
