InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,true,0.095,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,true,0.098,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,true,0.100,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,true,0.090,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,true,0.100,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,true,0.090,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,true,0.100,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,true,0.103,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.125,0.3,0.1,1000,true,0.094,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.250,0.5,0.3,1000,true,0.085,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.5,0.2,1000,true,0.090,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.5,0.1,1000,true,0.086,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.4,0.3,1000,true,0.080,14979.5417,0.8308,2
GG80-4-1.dat,80,4,0.250,0.4,0.2,1000,true,0.090,14979.5417,0.8308,2
GG80-4-1.dat,80,4,0.250,0.4,0.1,1000,true,0.090,14979.9614,0.9716,2
GG80-4-1.dat,80,4,0.250,0.3,0.3,1000,true,0.085,14986.9269,0.8326,2
GG80-4-1.dat,80,4,0.250,0.3,0.2,1000,true,0.100,14986.9269,0.8326,2
GG80-4-1.dat,80,4,0.250,0.3,0.1,1000,true,0.090,14986.9269,0.8326,2
GG80-5-1.dat,80,5,0.125,0.5,0.3,1000,true,0.125,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.5,0.2,1000,true,0.130,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.5,0.1,1000,true,0.116,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.4,0.3,1000,true,0.120,13013.7969,0.7784,2
GG80-5-1.dat,80,5,0.125,0.4,0.2,1000,true,0.119,13013.7969,0.7784,2
GG80-5-1.dat,80,5,0.125,0.4,0.1,1000,true,0.151,13070.8090,0.9992,2
GG80-5-1.dat,80,5,0.125,0.3,0.3,1000,true,0.125,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.125,0.3,0.2,1000,true,0.120,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.125,0.3,0.1,1000,true,0.125,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.250,0.5,0.3,1000,true,0.196,13002.6607,0.8320,2
GG80-5-1.dat,80,5,0.250,0.5,0.2,1000,true,0.195,13002.6607,0.8320,2
GG80-5-1.dat,80,5,0.250,0.5,0.1,1000,true,0.190,13013.7969,0.9774,2
GG80-5-1.dat,80,5,0.250,0.4,0.3,1000,true,0.200,13070.8090,0.9236,2
GG80-5-1.dat,80,5,0.250,0.4,0.2,1000,true,0.205,12945.6241,0.9238,2
GG80-5-1.dat,80,5,0.250,0.4,0.1,1000,true,0.210,12945.6241,0.9238,2
GG80-5-1.dat,80,5,0.250,0.3,0.3,1000,true,0.215,13081.2121,0.7646,2
GG80-5-1.dat,80,5,0.250,0.3,0.2,1000,true,0.209,13081.2121,0.7646,2
GG80-5-1.dat,80,5,0.250,0.3,0.1,1000,true,0.201,13635.5837,0.9680,2
GG80-6-1.dat,80,6,0.125,0.5,0.3,1000,true,0.505,12112.3934,0.9820,2
GG80-6-1.dat,80,6,0.125,0.5,0.2,1000,true,0.481,12112.3934,0.9820,2
GG80-6-1.dat,80,6,0.125,0.5,0.1,1000,true,0.480,12112.3934,0.9820,2
GG80-6-1.dat,80,6,0.125,0.4,0.3,1000,true,0.475,12340.6439,0.9226,2
GG80-6-1.dat,80,6,0.125,0.4,0.2,1000,true,0.475,12340.6439,0.9226,2
GG80-6-1.dat,80,6,0.125,0.4,0.1,1000,true,0.466,12340.6439,0.9226,2
GG80-6-1.dat,80,6,0.125,0.3,0.3,1000,true,0.545,12445.1291,0.7670,2
GG80-6-1.dat,80,6,0.125,0.3,0.2,1000,true,0.516,12463.6567,0.7634,2
GG80-6-1.dat,80,6,0.125,0.3,0.1,1000,true,0.540,12597.1129,0.9970,2
GG80-6-1.dat,80,6,0.250,0.5,0.3,1000,true,0.727,12235.6378,0.8516,2
GG80-6-1.dat,80,6,0.250,0.5,0.2,1000,true,0.735,12235.6378,0.8516,2
GG80-6-1.dat,80,6,0.250,0.5,0.1,1000,true,0.705,12340.6439,0.9838,2
GG80-6-1.dat,80,6,0.250,0.4,0.3,1000,true,0.718,12405.7979,0.7564,2
GG80-6-1.dat,80,6,0.250,0.4,0.2,1000,true,0.811,12529.0861,0.9356,2
GG80-6-1.dat,80,6,0.250,0.4,0.1,1000,true,0.897,12463.6567,0.9618,2
GG80-6-1.dat,80,6,0.250,0.3,0.3,1000,true,0.905,12750.8258,0.9278,2
GG80-6-1.dat,80,6,0.250,0.3,0.2,1000,true,0.801,12791.2031,0.9908,2
GG80-6-1.dat,80,6,0.250,0.3,0.1,1000,true,0.771,12791.2031,0.9908,2
GG80-6-2.dat,80,6,0.125,0.5,0.3,1000,true,0.276,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.5,0.2,1000,true,0.261,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.5,0.1,1000,true,0.279,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.4,0.3,1000,true,0.270,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.4,0.2,1000,true,0.263,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.4,0.1,1000,true,0.276,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.3,0.3,1000,true,0.295,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.125,0.3,0.2,1000,true,0.277,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.125,0.3,0.1,1000,true,0.269,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.5,0.3,1000,true,0.261,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.5,0.2,1000,true,0.260,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.5,0.1,1000,true,0.263,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.4,0.3,1000,true,0.262,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.4,0.2,1000,true,0.256,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.4,0.1,1000,true,0.250,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.3,0.3,1000,true,0.256,12246.7686,0.9298,2
