InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG80-6-2.dat,80,6,0.125,0.4,0.3,1000,true,0.486,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.4,0.2,1000,true,0.451,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.4,0.1,1000,true,0.471,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.125,0.3,0.4,1000,true,0.421,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.125,0.3,0.3,1000,true,0.507,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.125,0.3,0.2,1000,true,0.415,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.125,0.3,0.1,1000,true,0.480,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.5,0.4,1000,true,1.079,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.5,0.3,1000,true,0.471,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.5,0.2,1000,true,0.455,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.5,0.1,1000,true,0.436,12246.7686,1.0000,2
GG80-6-2.dat,80,6,0.250,0.4,0.4,1000,true,0.397,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.4,0.3,1000,true,0.437,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.4,0.2,1000,true,0.413,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.4,0.1,1000,true,0.447,12246.7686,0.9986,2
GG80-6-2.dat,80,6,0.250,0.3,0.4,1000,true,0.482,12246.7686,0.9298,2
GG80-6-2.dat,80,6,0.250,0.3,0.3,1000,true,0.509,12246.7686,0.9298,2
GG80-6-2.dat,80,6,0.250,0.3,0.2,1000,true,0.570,12246.7686,0.9298,2
GG80-6-2.dat,80,6,0.250,0.3,0.1,1000,true,0.496,12246.7686,0.9298,2
