InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance
2DU120-05-1.dat,120,7,0.125,0.2,0.2,500,True,0.565,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.2,1000,True,0.687,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.2,5000,True,0.546,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.1,500,True,0.568,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.1,1000,True,0.629,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.1,5000,True,0.626,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.3,0.3,500,True,0.584,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.3,1000,True,0.62,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.3,5000,True,0.522,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.2,500,True,0.609,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.2,1000,True,0.65,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.2,5000,True,0.719,7447.461,0.694
2DU120-05-1.dat,120,7,0.125,0.3,0.1,500,True,0.699,7475.5955,0.998
2DU120-05-1.dat,120,7,0.125,0.3,0.1,1000,True,0.608,7475.5955,0.998
2DU120-05-1.dat,120,7,0.125,0.3,0.1,5000,True,0.593,7475.5955,0.998
2DU120-05-1.dat,120,7,0.25,0.1,0.3,500,True,0.817,7682.3109,0.567
2DU120-05-1.dat,120,7,0.25,0.1,0.3,1000,True,2.937,7739.9988,0.538
2DU120-05-1.dat,120,7,0.25,0.1,0.3,5000,True,0.778,7715.8438,0.663
2DU120-05-1.dat,120,7,0.25,0.1,0.2,500,True,216.547,8021.77,0.681
2DU120-05-1.dat,120,7,0.25,0.1,0.2,1000,True,600.778,-1.0,0.665
2DU120-05-1.dat,120,7,0.25,0.1,0.2,5000,True,601.012,-1.0,0.677
2DU120-05-1.dat,120,7,0.25,0.1,0.1,500,True,601.558,-1.0,0.666
2DU120-05-1.dat,120,7,0.25,0.1,0.1,1000,True,600.978,-1.0,0.656
2DU120-05-1.dat,120,7,0.25,0.1,0.1,5000,True,601.102,-1.0,0.677
2DU120-05-1.dat,120,7,0.25,0.2,0.3,500,True,1.444,7509.9464,0.678
2DU120-05-1.dat,120,7,0.25,0.2,0.3,1000,True,0.773,7506.6672,0.635
2DU120-05-1.dat,120,7,0.25,0.2,0.3,5000,True,0.889,7543.0254,0.673
2DU120-05-1.dat,120,7,0.25,0.2,0.2,500,True,0.738,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.2,0.2,1000,True,0.786,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.2,0.2,5000,True,0.774,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.2,0.1,500,True,0.786,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.2,0.1,1000,True,0.796,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.2,0.1,5000,True,0.786,7519.9808,0.88
2DU120-05-1.dat,120,7,0.25,0.3,0.3,500,True,0.731,7447.461,0.569
2DU120-05-1.dat,120,7,0.25,0.3,0.3,1000,True,0.746,7447.461,0.569
2DU120-05-1.dat,120,7,0.25,0.3,0.3,5000,True,0.838,7478.5327,0.882
