PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
35,Null,Null,2015.3599973538,Null,Null,Null,10432.9496809566,Null,Null,Null,Null,Null,5708.5880678210,Null,Null,15743.0141691273,Null,Null,Null,Null,Null,3914.3699861148,Null,Null,Null,Null,Null,Null,Null,Null
36,Null,Null,1455.6300714628,Null,Null,Null,Null,Null,Null,Null,Null,Null,3924.3638910006,Null,Null,12361.1412551890,Null,Null,Null,Null,Null,2490.9194653184,Null,Null,Null,Null,Null,Null,Null,Null
37,Null,Null,Null,Null,Null,519.9639436530,Null,Null,Null,Null,Null,Null,Null,Null,Null,3961.0321611307,Null,Null,8890.0280920830,Null,Null,Null,1130.2377773449,Null,Null,Null,Null,Null,Null,Null
38,Null,Null,7323.8975114287,Null,Null,6073.4938642052,Null,Null,Null,Null,Null,Null,4612.7400600679,Null,Null,5225.7938470150,Null,Null,Null,Null,Null,9594.8049438553,Null,Null,Null,Null,Null,Null,Null,Null
39,Null,Null,Null,Null,Null,218.3003734897,Null,Null,Null,Null,Null,Null,Null,Null,Null,3121.4383886925,Null,Null,10080.5410229250,Null,Null,Null,951.6815568361,Null,Null,Null,Null,Null,Null,Null
40,Null,Null,12679.9899270095,Null,Null,1213.2178825754,Null,Null,Null,Null,Null,Null,5366.4317801431,Null,Null,2934.5071282605,Null,Null,Null,Null,Null,Null,8293.4409777891,Null,Null,Null,Null,Null,Null,Null
41,Null,Null,19751.4802987552,Null,Null,141.0372344216,Null,Null,Null,Null,Null,Null,Null,Null,Null,321.9246924499,Null,Null,Null,Null,Null,Null,5802.1950264779,Null,Null,Null,Null,Null,Null,Null
42,Null,Null,Null,Null,Null,Null,555.6141508243,Null,Null,Null,Null,17096.8602675715,Null,Null,Null,Null,Null,Null,Null,561.8832322737,Null,7631.4212732105,Null,Null,Null,Null,Null,Null,Null,Null
43,Null,Null,Null,Null,Null,Null,267.0360967630,Null,Null,Null,Null,16310.0070090928,Null,Null,Null,Null,Null,Null,Null,707.1747763494,Null,7754.9125187959,Null,Null,Null,Null,Null,Null,Null,Null
44,6343.4992822462,Null,Null,Null,Null,16347.2809017641,Null,Null,Null,11868.6287556596,Null,Null,Null,Null,Null,Null,Null,Null,3298.1998782780,9148.3427908474,11764.0941066446,Null,11477.6052937297,Null,Null,Null,Null,Null,Null,3547.6716523134
45,8418.1401110689,Null,Null,Null,Null,Null,Null,Null,Null,Null,10595.6437482781,10851.0471260404,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8041.0707748712,Null,Null,Null,539.8513318211,10874.2458560013,Null
46,7452.1321156158,Null,Null,Null,Null,Null,Null,Null,Null,Null,10689.5589339915,11549.0413934163,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7295.7264847573,Null,Null,Null,0.0000000000,11850.6720553227,Null
47,5130.8836475461,Null,Null,Null,Null,Null,Null,Null,Null,Null,9430.8934726165,15860.4955335945,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3227.2215399272,Null,Null,Null,3010.7590802226,Null,Null
48,4316.3074699646,Null,Null,Null,Null,Null,Null,18865.4565954452,Null,13353.4749559255,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7408.2274221458,Null,Null,3639.9706228823,Null,Null,Null,5901.9567726627,Null,6992.5233700795
