
============================================================
处理日期: 2022-01-10
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 150/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20220110.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20220110.csv
进度: 65.6566% (13000/19800) [Region:154, Point:2985] 已用: 0.1s, 剩余: 0.0s
进度: 66.1616% (13100/19800) [Region:154, Point:1734] 已用: 0.1s, 剩余: 0.0s
进度: 66.6667% (13200/19800) [Region:188, Point:1271] 已用: 0.1s, 剩余: 0.0s
进度: 67.1717% (13300/19800) [Region:155, Point:2100] 已用: 0.1s, 剩余: 0.0s
进度: 67.6768% (13400/19800) [Region:155, Point:3611] 已用: 0.1s, 剩余: 0.0s
进度: 68.1818% (13500/19800) [Region:151, Point:1550] 已用: 0.1s, 剩余: 0.0s
进度: 68.6869% (13600/19800) [Region:192, Point:1062] 已用: 0.1s, 剩余: 0.0s
进度: 69.1919% (13700/19800) [Region:152, Point:3835] 已用: 0.1s, 剩余: 0.0s
进度: 69.6970% (13800/19800) [Region:187, Point:1267] 已用: 0.1s, 剩余: 0.0s
进度: 70.2020% (13900/19800) [Region:53, Point:2813] 已用: 0.1s, 剩余: 0.0s
进度: 70.7071% (14000/19800) [Region:60, Point:1296] 已用: 0.1s, 剩余: 0.0s
进度: 71.2121% (14100/19800) [Region:152, Point:3234] 已用: 0.1s, 剩余: 0.0s
进度: 71.7172% (14200/19800) [Region:60, Point:3788] 已用: 0.1s, 剩余: 0.0s
进度: 72.2222% (14300/19800) [Region:55, Point:1957] 已用: 0.1s, 剩余: 0.0s
进度: 72.7273% (14400/19800) [Region:61, Point:3403] 已用: 0.1s, 剩余: 0.0s
进度: 73.2323% (14500/19800) [Region:51, Point:1767] 已用: 0.1s, 剩余: 0.0s
进度: 73.7374% (14600/19800) [Region:52, Point:1331] 已用: 0.1s, 剩余: 0.0s
进度: 74.2424% (14700/19800) [Region:59, Point:1232] 已用: 0.1s, 剩余: 0.0s
进度: 74.7475% (14800/19800) [Region:170, Point:709] 已用: 0.1s, 剩余: 0.0s
进度: 75.2525% (14900/19800) [Region:52, Point:2789] 已用: 0.1s, 剩余: 0.0s
进度: 75.7576% (15000/19800) [Region:150, Point:2274] 已用: 0.1s, 剩余: 0.0s
进度: 76.2626% (15100/19800) [Region:72, Point:3857] 已用: 0.1s, 剩余: 0.0s
进度: 76.7677% (15200/19800) [Region:50, Point:2339] 已用: 0.1s, 剩余: 0.0s
进度: 77.2727% (15300/19800) [Region:156, Point:200] 已用: 0.1s, 剩余: 0.0s
进度: 77.7778% (15400/19800) [Region:101, Point:3419] 已用: 0.1s, 剩余: 0.0s
进度: 78.2828% (15500/19800) [Region:103, Point:3115] 已用: 0.1s, 剩余: 0.0s
