
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

进度: 52.0202% (10300/19800) [Region:198, Point:1989] 已用: 0.0s, 剩余: 0.0s
进度: 53.5354% (10600/19800) [Region:80, Point:2280] 已用: 0.0s, 剩余: 0.0s
进度: 48.9899% (9700/19800) [Region:178, Point:855] 已用: 0.0s, 剩余: 0.0s
进度: 54.5455% (10800/19800) [Region:199, Point:1989] 已用: 0.0s, 剩余: 0.0s
进度: 54.0404% (10700/19800) [Region:142, Point:3404] 已用: 0.0s, 剩余: 0.0s
进度: 55.0505% (10900/19800) [Region:76, Point:2655] 已用: 0.0s, 剩余: 0.0s
进度: 55.5556% (11000/19800) [Region:76, Point:2462] 已用: 0.0s, 剩余: 0.0s
进度: 57.0707% (11300/19800) [Region:143, Point:2464] 已用: 0.0s, 剩余: 0.0s
进度: 56.5657% (11200/19800) [Region:196, Point:1855] 已用: 0.0s, 剩余: 0.0s
进度: 56.0606% (11100/19800) [Region:147, Point:2208] 已用: 0.0s, 剩余: 0.0s
进度: 57.5758% (11400/19800) [Region:120, Point:1205] 已用: 0.0s, 剩余: 0.0s
进度: 58.0808% (11500/19800) [Region:197, Point:2033] 已用: 0.0s, 剩余: 0.0s
进度: 58.5859% (11600/19800) [Region:145, Point:95] 已用: 0.0s, 剩余: 0.0s
进度: 59.0909% (11700/19800) [Region:77, Point:1407] 已用: 0.0s, 剩余: 0.0s
进度: 59.5960% (11800/19800) [Region:75, Point:242] 已用: 0.0s, 剩余: 0.0s
进度: 60.1010% (11900/19800) [Region:118, Point:333] 已用: 0.0s, 剩余: 0.0s
进度: 60.6061% (12000/19800) [Region:167, Point:1022] 已用: 0.0s, 剩余: 0.0s
进度: 61.1111% (12100/19800) [Region:12, Point:187] 已用: 0.0s, 剩余: 0.0s
进度: 53.0303% (10500/19800) [Region:133, Point:14] 已用: 0.0s, 剩余: 0.0s
进度: 61.6162% (12200/19800) [Region:179, Point:2050] 已用: 0.0s, 剩余: 0.0s
进度: 62.1212% (12300/19800) [Region:167, Point:3116] 已用: 0.0s, 剩余: 0.0s
进度: 62.6263% (12400/19800) [Region:180, Point:3268] 已用: 0.0s, 剩余: 0.0s
进度: 63.1313% (12500/19800) [Region:75, Point:3124] 已用: 0.0s, 剩余: 0.0s
进度: 63.6364% (12600/19800) [Region:139, Point:2899] 已用: 0.1s, 剩余: 0.0s
进度: 64.1414% (12700/19800) [Region:99, Point:326] 已用: 0.1s, 剩余: 0.0s
进度: 64.6465% (12800/19800) [Region:99, Point:1388] 已用: 0.1s, 剩余: 0.0s
进度: 65.1515% (12900/19800) [Region:21, Point:1731] 已用: 0.1s, 剩余: 0.0s
进度: 65.6566% (13000/19800) [Region:177, Point:666] 已用: 0.1s, 剩余: 0.0s
进度: 66.1616% (13100/19800) [Region:22, Point:2399] 已用: 0.1s, 剩余: 0.0s
进度: 67.1717% (13300/19800) [Region:19, Point:2851] 已用: 0.1s, 剩余: 0.0s
进度: 66.6667% (13200/19800) [Region:191, Point:1507] 已用: 0.1s, 剩余: 0.0s
进度: 67.6768% (13400/19800) [Region:167, Point:556] 已用: 0.1s, 剩余: 0.0s
进度: 68.6869% (13600/19800) [Region:20, Point:2822] 已用: 0.1s, 剩余: 0.0s
进度: 69.1919% (13700/19800) [Region:128, Point:462] 已用: 0.1s, 剩余: 0.0s
进度: 68.1818% (13500/19800) [Region:99, Point:1118] 已用: 0.1s, 剩余: 0.0s
进度: 70.2020% (13900/19800) [Region:129, Point:1689] 已用: 0.1s, 剩余: 0.0s
进度: 69.6970% (13800/19800) [Region:18, Point:2287] 已用: 0.1s, 剩余: 0.0s
