
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
进度: 68.1818% (13500/19800) [Region:47, Point:654] 已用: 3.1s, 剩余: 1.4s
进度: 68.6869% (13600/19800) [Region:93, Point:3294] 已用: 3.1s, 剩余: 1.4s
进度: 69.1919% (13700/19800) [Region:93, Point:781] 已用: 3.2s, 剩余: 1.4s
进度: 69.6970% (13800/19800) [Region:178, Point:1142] 已用: 3.2s, 剩余: 1.4s
进度: 70.2020% (13900/19800) [Region:176, Point:903] 已用: 3.2s, 剩余: 1.4s
进度: 70.7071% (14000/19800) [Region:178, Point:815] 已用: 3.2s, 剩余: 1.3s
进度: 71.2121% (14100/19800) [Region:184, Point:3984] 已用: 3.3s, 剩余: 1.3s
进度: 71.7172% (14200/19800) [Region:184, Point:52] 已用: 3.3s, 剩余: 1.3s
进度: 72.2222% (14300/19800) [Region:179, Point:3217] 已用: 3.3s, 剩余: 1.3s
进度: 72.7273% (14400/19800) [Region:180, Point:3853] 已用: 3.3s, 剩余: 1.3s
进度: 73.2323% (14500/19800) [Region:68, Point:2862] 已用: 3.4s, 剩余: 1.2s
进度: 73.7374% (14600/19800) [Region:175, Point:1523] 已用: 3.4s, 剩余: 1.2s
进度: 74.2424% (14700/19800) [Region:51, Point:3463] 已用: 3.4s, 剩余: 1.2s
进度: 74.7475% (14800/19800) [Region:52, Point:146] 已用: 3.4s, 剩余: 1.1s
进度: 75.2525% (14900/19800) [Region:166, Point:803] 已用: 3.4s, 剩余: 1.1s
进度: 75.7576% (15000/19800) [Region:50, Point:2195] 已用: 3.5s, 剩余: 1.1s
进度: 76.2626% (15100/19800) [Region:80, Point:2644] 已用: 3.5s, 剩余: 1.1s
进度: 76.7677% (15200/19800) [Region:123, Point:2445] 已用: 3.6s, 剩余: 1.1s
进度: 77.2727% (15300/19800) [Region:9, Point:1637] 已用: 3.6s, 剩余: 1.1s
进度: 77.7778% (15400/19800) [Region:75, Point:3959] 已用: 3.6s, 剩余: 1.0s
进度: 78.2828% (15500/19800) [Region:166, Point:3881] 已用: 3.7s, 剩余: 1.0s
进度: 78.7879% (15600/19800) [Region:153, Point:3085] 已用: 3.8s, 剩余: 1.0s
进度: 79.2929% (15700/19800) [Region:153, Point:1730] 已用: 3.8s, 剩余: 1.0s
进度: 80.3030% (15900/19800) [Region:154, Point:2985] 已用: 3.9s, 剩余: 0.9s
进度: 80.8081% (16000/19800) [Region:124, Point:3011] 已用: 3.9s, 剩余: 0.9s
进度: 81.3131% (16100/19800) [Region:155, Point:3431] 已用: 3.9s, 剩余: 0.9s
进度: 81.8182% (16200/19800) [Region:124, Point:2798] 已用: 3.9s, 剩余: 0.9s
进度: 82.3232% (16300/19800) [Region:161, Point:3806] 已用: 3.9s, 剩余: 0.8s
进度: 82.8283% (16400/19800) [Region:161, Point:1884] 已用: 3.9s, 剩余: 0.8s
进度: 79.7980% (15800/19800) [Region:125, Point:2218] 已用: 4.0s, 剩余: 1.0s
进度: 83.8384% (16600/19800) [Region:57, Point:1228] 已用: 4.0s, 剩余: 0.8s
进度: 84.3434% (16700/19800) [Region:151, Point:2380] 已用: 4.0s, 剩余: 0.7s
进度: 83.3333% (16500/19800) [Region:177, Point:552] 已用: 4.0s, 剩余: 0.8s
进度: 84.8485% (16800/19800) [Region:151, Point:1514] 已用: 4.0s, 剩余: 0.7s
进度: 85.3535% (16900/19800) [Region:198, Point:1422] 已用: 4.1s, 剩余: 0.7s
进度: 85.8586% (17000/19800) [Region:171, Point:3126] 已用: 4.1s, 剩余: 0.7s
进度: 86.3636% (17100/19800) [Region:144, Point:1126] 已用: 4.1s, 剩余: 0.7s
进度: 86.8687% (17200/19800) [Region:163, Point:1136] 已用: 4.2s, 剩余: 0.6s
进度: 87.3737% (17300/19800) [Region:125, Point:1955] 已用: 4.2s, 剩余: 0.6s
进度: 87.8788% (17400/19800) [Region:152, Point:3244] 已用: 4.2s, 剩余: 0.6s
进度: 88.3838% (17500/19800) [Region:152, Point:3274] 已用: 4.3s, 剩余: 0.6s
进度: 88.8889% (17600/19800) [Region:193, Point:3217] 已用: 4.3s, 剩余: 0.5s
进度: 89.8990% (17800/19800) [Region:173, Point:1597] 已用: 4.3s, 剩余: 0.5s
进度: 89.3939% (17700/19800) [Region:196, Point:1847] 已用: 4.3s, 剩余: 0.5s
进度: 90.4040% (17900/19800) [Region:162, Point:2538] 已用: 4.4s, 剩余: 0.5s
进度: 90.9091% (18000/19800) [Region:162, Point:479] 已用: 4.4s, 剩余: 0.4s
进度: 91.4141% (18100/19800) [Region:174, Point:282] 已用: 4.4s, 剩余: 0.4s
进度: 91.9192% (18200/19800) [Region:171, Point:2425] 已用: 4.5s, 剩余: 0.4s
进度: 92.4242% (18300/19800) [Region:172, Point:2868] 已用: 4.5s, 剩余: 0.4s
进度: 92.9293% (18400/19800) [Region:145, Point:851] 已用: 4.6s, 剩余: 0.3s
进度: 93.4343% (18500/19800) [Region:196, Point:1993] 已用: 4.6s, 剩余: 0.3s
进度: 93.9394% (18600/19800) [Region:108, Point:1944] 已用: 4.7s, 剩余: 0.3s
进度: 94.4444% (18700/19800) [Region:196, Point:3169] 已用: 4.7s, 剩余: 0.3s
进度: 94.9495% (18800/19800) [Region:125, Point:2535] 已用: 4.9s, 剩余: 0.3s
进度: 95.4545% (18900/19800) [Region:196, Point:1844] 已用: 5.0s, 剩余: 0.2s
进度: 95.9596% (19000/19800) [Region:197, Point:2215] 已用: 5.0s, 剩余: 0.2s
进度: 96.4646% (19100/19800) [Region:189, Point:3633] 已用: 5.3s, 剩余: 0.2s
进度: 96.9697% (19200/19800) [Region:118, Point:263] 已用: 5.6s, 剩余: 0.2s
进度: 97.4747% (19300/19800) [Region:58, Point:907] 已用: 5.7s, 剩余: 0.1s
进度: 97.9798% (19400/19800) [Region:70, Point:2518] 已用: 5.8s, 剩余: 0.1s
进度: 98.4848% (19500/19800) [Region:119, Point:2337] 已用: 6.1s, 剩余: 0.1s
[最后200任务] Region:157, Point:416, 进度:19601/19800
[最后200任务] Region:157, Point:16, 进度:19602/19800
进度: 98.9899% (19600/19800) [Region:120, Point:19] 已用: 6.5s, 剩余: 0.1s
[最后200任务] Region:120, Point:1173, 进度:19603/19800
[最后200任务] Region:120, Point:3795, 进度:19604/19800
[最后200任务] Region:120, Point:3798, 进度:19605/19800
[最后200任务] Region:120, Point:1209, 进度:19606/19800
[最后200任务] Region:120, Point:22, 进度:19607/19800
[最后200任务] Region:189, Point:507, 进度:19608/19800
[最后200任务] Region:189, Point:489, 进度:19609/19800
[最后200任务] Region:120, Point:978, 进度:19610/19800
[最后200任务] Region:120, Point:24, 进度:19611/19800
[最后200任务] Region:120, Point:155, 进度:19612/19800
[最后200任务] Region:120, Point:3910, 进度:19613/19800
[最后200任务] Region:120, Point:3745, 进度:19614/19800
[最后200任务] Region:120, Point:230, 进度:19615/19800
[最后200任务] Region:189, Point:742, 进度:19616/19800
[最后200任务] Region:189, Point:530, 进度:19617/19800
[最后200任务] Region:189, Point:462, 进度:19618/19800
[最后200任务] Region:189, Point:842, 进度:19619/19800
[最后200任务] Region:189, Point:3544, 进度:19620/19800
[最后200任务] Region:189, Point:3906, 进度:19621/19800
[最后200任务] Region:189, Point:3266, 进度:19622/19800
[最后200任务] Region:189, Point:3567, 进度:19623/19800
[最后200任务] Region:189, Point:475, 进度:19624/19800
[最后200任务] Region:120, Point:3935, 进度:19625/19800
[最后200任务] Region:120, Point:365, 进度:19626/19800
[最后200任务] Region:120, Point:370, 进度:19627/19800
[最后200任务] Region:120, Point:224, 进度:19628/19800
[最后200任务] Region:120, Point:944, 进度:19629/19800
[最后200任务] Region:157, Point:2790, 进度:19630/19800
