InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,true,1728.345,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,true,0.055,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,true,true,2000.098,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,true,0.437,280451.6817,0.9864,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,true,0.491,268735.7494,0.9396,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,true,0.190,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,true,2000.053,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,true,4.431,325436.3063,0.9964,true,3,-1,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,true,11.222,280451.6817,0.9908,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,true,0.165,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,true,true,2000.060,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,true,0.222,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,true,81.251,271100.8560,0.0000,true,-1,83,0
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,true,0.177,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,true,2000.156,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,true,0.178,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,true,1480.689,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,true,0.193,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,true,true,2000.019,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,true,2000.119,-1.0000,-1.0000,false,9,-1,4
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,true,13.243,233916.7928,0.0000,true,-1,5,0
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,true,7.680,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,true,2000.073,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,true,5.117,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,true,12.980,233916.7928,0.0000,true,-1,5,0
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,true,4.590,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,true,true,2000.029,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,true,4.823,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,true,1738.852,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,false,true,4.960,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,true,true,2000.063,-1.0000,-1.0000,false,2,1,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,false,true,4.837,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,true,true,1771.907,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,false,2.00,4.00,false,false,true,4.970,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,false,2.00,4.00,false,true,true,2000.106,-1.0000,-1.0000,false,2,1,2
