InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,false,2.00,4.00,false,true,true,1,164.225,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,false,2.00,4.00,false,true,true,2,10.715,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,false,true,1,203.900,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,false,true,2,1.434,300579.1438,0.9948,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,true,1,227.794,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,true,2,7.722,280583.0909,0.9924,true,-1,25,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,false,2.00,4.00,false,false,true,1,225.434,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,false,2.00,4.00,false,false,true,2,0.342,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,false,2.00,4.00,false,true,true,1,221.419,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,false,2.00,4.00,false,true,true,2,16.862,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,true,1,223.973,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,true,2,1.698,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,true,1,225.297,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,true,2,7.686,-1.0000,-1.0000,false,-1,25,4
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,false,true,1,222.031,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,false,true,2,0.312,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,true,true,1,208.032,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,true,true,2,22.869,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,false,true,1,316.357,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,false,true,2,0.990,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,true,1,281.745,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,true,2,6.069,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,false,true,1,264.246,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,false,true,2,0.487,-1.0000,-1.0000,false,3,-1,2
