InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG100-6-1.dat,100,6,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,1000.204,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.4,0.1,1000,false,2.00,4.00,false,true,92.484,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,2.005,16911.0575,0.9930,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,88.238,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,1001.496,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,102.354,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,4.622,16968.4475,0.9960,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,98.137,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,1000.473,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,false,2.00,4.00,false,true,104.042,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,3.785,17068.0861,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,97.780,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.2,1000,false,2.00,4.00,false,false,1000.294,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.3,0.2,1000,false,2.00,4.00,false,true,106.657,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.1,1000,true,0.00,0.00,false,false,1002.442,-1.0000,-1.0000,false,9,-1
GG100-6-1.dat,100,6,0.250,0.3,0.1,1000,true,0.00,0.00,false,true,144.274,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.250,0.3,0.1,1000,false,2.00,4.00,false,false,6.359,-1.0000,-1.0000,false,3,-1
GG100-6-1.dat,100,6,0.250,0.3,0.1,1000,false,2.00,4.00,false,true,131.260,-1.0000,-1.0000,false,-1,500
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,2.448,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,0.878,12267.8981,1.0000,true,-1,1
