InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,true,false,3.220,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,false,0.387,4233.0451,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,false,3.671,4233.0451,1.0000,true,-1,22
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,false,0.155,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,false,3.253,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,false,0.189,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,false,3.175,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,false,0.135,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,true,false,3.083,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,false,0.406,4233.0451,0.9930,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,false,3.676,4233.0451,0.9930,true,-1,22
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,false,0.157,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,false,3.253,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,false,358.854,4854.4311,0.9980,true,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,false,7.683,4233.0451,0.9930,true,-1,22
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,false,0.225,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,true,false,5.273,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,false,0.392,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,false,5.446,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,false,false,0.185,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,true,false,4.678,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,false,false,0.190,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,true,false,4.460,-1.0000,-1.0000,false,-1,100
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,false,2.00,4.00,false,false,false,0.170,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,false,2.00,4.00,false,true,false,4.284,-1.0000,-1.0000,false,-1,100
